labels,f1,precision,recall,support
CN,0.6327527612574342,0.7883037840698598,0.7020148462354189,11337.0
CR,0.0,0.0,0.0,0.0
TN,0.6551917156451161,0.2717668911074994,0.38417986378928365,8614.0
TR,0.0,0.0,0.0,0.0
accuracy,0.5652849481229011,0.5652849481229011,0.5652849481229011,0.5652849481229011
macro avg,0.3219861192256376,0.2650176687943398,0.2715486775061756,19951.0
weighted avg,0.642440954986846,0.5652849481229011,0.5647871113453878,19951.0
